@relation 'max_min_all_fin-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute Fmax numeric
@attribute Fmin numeric
@attribute Mmax numeric
@attribute Mmin numeric
@attribute Class numeric

@data
0.02054,-1.258117,0.111767,0.005017,2
0.020673,-1.250933,0.100567,0.004837,1
0.367887,-1.30229,0.101967,0.013293,1
0.041483,-1.36135,0.119633,0.00632,2
0.125597,-1.2775,0.1169,0.005227,2
0.01044,-1.267843,0.061267,-0.000557,3
0.01449,-1.437757,0.135233,-0.005103,1
0.01651,-1.337673,0.115467,0.00936,3
0.047257,-1.364433,0.145533,0.00933,1
0.018783,-1.29148,0.045167,-0.0038,3
0.26532,-1.264257,0.096667,-0.00588,2
0.348923,-1.319197,0.106033,0.000773,2
0.01621,-1.293537,0.091233,0.00237,1
0.014597,-1.32621,0.141167,0.004587,1
0.007467,-1.2652,0.056433,-0.006793,3
0.000707,-1.283073,0.058367,-0.00378,3
0.00058,-1.30405,0.1382,-0.013467,1
0.25998,-1.2795,0.137467,-0.01303,1
-0.00898,-1.275697,0.108733,-0.027473,3
0.01593,-1.334257,0.113233,-0.015623,3
-0.015693,-1.245763,0.1279,-0.017,3
-0.018367,-1.254083,0.1137,-0.023953,1
-0.014867,-1.26936,0.121967,-0.026583,1
0.478443,-1.31194,0.109533,0.003763,1
0.356147,-1.53602,0.123,-0.000407,1
0.01272,-1.23416,0.072633,-0.00589,3
0.008243,-1.331567,0.044967,-0.001367,3
0.29849,-1.285883,0.106067,0.00269,1
0.01312,-1.299857,0.032,-0.008147,3
0.064723,-1.2937,0.0888,0.007323,1
0.016233,-1.240473,0.134533,-0.007987,1
0.009247,-1.33035,0.117133,-0.007633,2
0.123643,-1.278273,0.104667,-0.002377,1
0.01847,-1.2954,0.094633,0.0015,3
0.00995,-1.319,0.1243,-0.16549,1
-0.708057,-3.854583,0.067033,-3.845687,1
0.013047,-1.315347,0.115967,-0.00661,1
0.01514,-1.32884,0.1365,0.00369,1
